"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Africa","Gross Production Index Number (2014-2016 = 100)","2013","index","95.59","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2012","index","92.48","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2011","index","87.26","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2010","index","86.53","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2009","index","81.49","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2008","index","80.07","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2007","index","76.08","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2006","index","77.02","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2005","index","73.66","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2004","index","70.33","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2003","index","68.07","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2002","index","64.76","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2001","index","61.97","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","2000","index","60.47","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1999","index","60.18","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1998","index","57.56","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1997","index","55.34","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1996","index","55.33","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1995","index","50.65","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1994","index","49.92","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1993","index","49.04","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1992","index","47.61","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1991","index","48.24","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1990","index","44.23","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1989","index","43.01","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1988","index","41.18","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1987","index","39.20","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1986","index","38.98","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1985","index","37.47","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1984","index","34.88","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1983","index","34.53","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1982","index","34.60","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1981","index","34.33","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1980","index","33.34","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1979","index","32.42","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1978","index","32.27","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1977","index","31.48","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1976","index","31.59","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1975","index","31.63","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1974","index","31.32","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1973","index","29.34","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1972","index","29.46","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1971","index","29.72","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1970","index","29.05","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1969","index","28.01","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1968","index","26.93","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1967","index","26.23","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1966","index","24.71","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1965","index","24.70","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1964","index","24.23","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1963","index","23.83","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1962","index","22.98","Fc"
"Africa","Gross Production Index Number (2014-2016 = 100)","1961","index","21.81","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2018","index","95.65","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2017","index","96.43","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2016","index","96.89","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2015","index","101.01","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2014","index","102.10","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2013","index","100.62","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2012","index","99.89","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2011","index","96.73","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2010","index","98.42","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2009","index","95.09","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2008","index","95.84","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2007","index","93.39","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2006","index","96.94","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2005","index","95.05","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2004","index","93.01","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2003","index","92.26","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2002","index","89.93","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2001","index","88.17","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","2000","index","88.15","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1999","index","89.88","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1998","index","88.09","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1997","index","86.79","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1996","index","88.94","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1995","index","83.48","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1994","index","84.37","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1993","index","85.02","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1992","index","84.70","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1991","index","88.09","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1990","index","82.94","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1989","index","82.86","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1988","index","81.56","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1987","index","79.84","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1986","index","81.65","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1985","index","80.73","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1984","index","77.32","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1983","index","78.73","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1982","index","81.16","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1981","index","82.83","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1980","index","82.73","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1979","index","82.74","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1978","index","84.69","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1977","index","84.96","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1976","index","87.64","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1975","index","90.16","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1974","index","91.71","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1973","index","88.23","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1972","index","90.96","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1971","index","94.20","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1970","index","94.49","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1969","index","93.48","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1968","index","92.21","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1967","index","92.11","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1966","index","89.00","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1965","index","91.21","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1964","index","91.71","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1963","index","92.46","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1962","index","91.36","Fc"
"Africa","Gross per capita Production Index Number (2014-2016 = 100)","1961","index","88.82","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2018","index","105.98","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2017","index","103.96","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2016","index","103.03","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2015","index","100.02","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2014","index","96.96","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2013","index","95.73","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2012","index","95.06","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2011","index","90.01","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2010","index","85.75","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2009","index","80.62","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2008","index","77.80","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2007","index","75.64","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2006","index","74.63","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2005","index","71.91","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2004","index","73.13","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2003","index","69.75","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2002","index","66.74","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2001","index","66.36","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","2000","index","64.80","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1999","index","61.62","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1998","index","62.25","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1997","index","59.73","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1996","index","62.85","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1995","index","62.45","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1994","index","57.83","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1993","index","53.15","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1992","index","47.15","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1991","index","42.31","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1990","index","50.79","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1989","index","52.09","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1988","index","46.38","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1987","index","49.17","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1986","index","47.63","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1985","index","47.51","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1984","index","47.76","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1983","index","51.12","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1982","index","47.37","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1981","index","46.01","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1980","index","44.23","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1979","index","45.38","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1978","index","44.02","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1977","index","42.15","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1976","index","40.38","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1975","index","36.83","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1974","index","36.20","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1973","index","35.37","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1972","index","32.97","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1971","index","32.23","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1970","index","31.19","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1969","index","30.25","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1968","index","29.77","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1967","index","29.82","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1966","index","28.19","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1965","index","24.95","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1964","index","25.93","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1963","index","23.57","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1962","index","24.02","Fc"
"Albania","Gross Production Index Number (2014-2016 = 100)","1961","index","22.65","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2018","index","106.29","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2017","index","104.21","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2016","index","103.19","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2015","index","100.03","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2014","index","96.78","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2013","index","95.31","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2012","index","94.30","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2011","index","88.85","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2010","index","84.09","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2009","index","78.40","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2008","index","74.90","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2007","index","72.07","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2006","index","70.44","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2005","index","67.35","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2004","index","68.10","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2003","index","64.67","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2002","index","61.71","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2001","index","61.30","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","2000","index","59.87","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1999","index","57.05","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1998","index","57.85","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1997","index","55.71","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1996","index","58.64","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1995","index","58.00","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1994","index","53.13","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1993","index","48.09","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1992","index","41.99","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1991","index","37.29","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1990","index","44.68","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1989","index","46.22","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1988","index","41.89","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1987","index","45.49","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1986","index","45.23","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1985","index","46.25","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1984","index","47.55","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1983","index","51.95","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1982","index","49.08","Fc"
"Albania","Gross per capita Production Index Number (2014-2016 = 100)","1981","index","48.59","Fc"
